time	V(C)
1.131437142857143e-02	8.204690e-01
1.154291428571429e-02	7.924902e-01
1.177145714285714e-02	7.655114e-01
1.200000000000000e-02	7.395326e-01
1.200010000000000e-02	7.395597e-01
1.240010000000000e-02	9.901001e-01
1.240020000000000e-02	9.901227e-01
1.262874285714286e-02	9.565238e-01
1.285728571428571e-02	9.239756e-01
1.308582857142857e-02	8.924781e-01
1.331437142857143e-02	8.620313e-01
1.354291428571429e-02	8.326351e-01
1.377145714285714e-02	8.042897e-01
1.400000000000000e-02	7.769949e-01
1.400010000000000e-02	7.770215e-01
1.440010000000000e-02	1.025359e+00
1.440020000000000e-02	1.025381e+00
1.440020400000000e-02	1.025380e+00
1.462874628571428e-02	9.905851e-01
1.485728857142857e-02	9.568780e-01
1.508583085714286e-02	9.242590e-01
1.531437314285714e-02	8.927280e-01
1.554291542857143e-02	8.622852e-01
1.577145771428572e-02	8.329304e-01
1.600000000000000e-02	8.046638e-01
1.600010000000000e-02	8.046898e-01
1.640010000000000e-02	1.051400e+00
1.640020000000000e-02	1.051422e+00
1.662874285714286e-02	1.015743e+00
1.685728571428571e-02	9.811796e-01
1.708582857142857e-02	9.477321e-01
1.731437142857143e-02	9.154003e-01
1.754291428571429e-02	8.841842e-01
1.777145714285714e-02	8.540839e-01
1.800000000000000e-02	8.250993e-01
1.800010000000000e-02	8.251250e-01
1.840010000000000e-02	1.070634e+00
1.840020000000000e-02	1.070655e+00
1.862874285714286e-02	1.034323e+00
1.885728571428572e-02	9.991279e-01
1.908582857142857e-02	9.650686e-01
1.931437142857143e-02	9.321453e-01
1.954291428571429e-02	9.003582e-01
1.977145714285715e-02	8.697073e-01
2.000000000000000e-02	8.401924e-01
2.000010000000000e-02	8.402179e-01
2.040010000000000e-02	1.084839e+00
2.040020000000000e-02	1.084860e+00
2.062874285714286e-02	1.048047e+00
2.085728571428571e-02	1.012384e+00
2.108582857142857e-02	9.778728e-01
2.131437142857143e-02	9.445128e-01
2.154291428571429e-02	9.123039e-01
2.177145714285714e-02	8.812463e-01
2.200000000000000e-02	8.513399e-01
2.200010000000000e-02	8.513653e-01
2.240010000000000e-02	1.095331e+00
2.240020000000000e-02	1.095352e+00
2.262874285714286e-02	1.058182e+00
2.285728571428571e-02	1.022175e+00
2.308582857142857e-02	9.873297e-01
2.331437142857143e-02	9.536471e-01
2.354291428571429e-02	9.211267e-01
2.377145714285714e-02	8.897688e-01
2.400000000000000e-02	8.595731e-01
2.400010000000000e-02	8.595983e-01
2.440010000000000e-02	1.103080e+00
2.440020000000000e-02	1.103101e+00
2.462874285714286e-02	1.065668e+00
2.485728571428571e-02	1.029406e+00
2.508582857142857e-02	9.943144e-01
2.531437142857143e-02	9.603934e-01
2.554291428571429e-02	9.276431e-01
2.577145714285714e-02	8.960632e-01
2.600000000000000e-02	8.656540e-01
2.600010000000000e-02	8.656791e-01
2.640010000000000e-02	1.108803e+00
2.640020000000000e-02	1.108824e+00
2.662874285714286e-02	1.071197e+00
2.685728571428572e-02	1.034747e+00
2.708582857142857e-02	9.994731e-01
2.731437142857143e-02	9.653762e-01
2.754291428571429e-02	9.324559e-01
2.777145714285715e-02	9.007122e-01
2.800000000000000e-02	8.701452e-01
2.800010000000000e-02	8.701702e-01
2.840010000000000e-02	1.113030e+00
2.840020000000000e-02	1.113051e+00
2.862874285714286e-02	1.075280e+00
2.885728571428571e-02	1.038691e+00
2.908582857142857e-02	1.003283e+00
2.931437142857143e-02	9.690563e-01
2.954291428571429e-02	9.360105e-01
2.977145714285714e-02	9.041458e-01
3.000000000000000e-02	8.734623e-01
3.000001000000000e-02	8.734620e-01
3.000010000000000e-02	8.734873e-01
3.040010000000000e-02	1.116152e+00
3.040020000000000e-02	1.116173e+00
3.062874285714286e-02	1.078296e+00
3.085728571428571e-02	1.041605e+00
3.108582857142857e-02	1.006097e+00
3.131437142857143e-02	9.717743e-01
3.154291428571428e-02	9.386358e-01
3.177145714285715e-02	9.066818e-01
