Freq.	Vout    phase
3.43426174575106e+00	9.99981375765806e-01,-4.31554021325386e-03
3.45814892523151e+00	9.99981115786094e-01,-4.34555603945120e-03
3.48220225318454e+00	9.99980852177340e-01,-4.37578061849171e-03
3.50642288526419e+00	9.99980584888886e-01,-4.40621540186748e-03
3.53081198516267e+00	9.99980313869370e-01,-4.43686185115603e-03
3.55537072466633e+00	9.99980039066713e-01,-4.46772143809026e-03
3.58010028371194e+00	9.99979760428108e-01,-4.49879564462886e-03
3.60500185044337e+00	9.99979477900011e-01,-4.53008596302719e-03
3.63007662126869e+00	9.99979191428132e-01,-4.56159389590870e-03
3.65532580091765e+00	9.99978900957422e-01,-4.59332095633677e-03
3.68075060249955e+00	9.99978606432065e-01,-4.62526866788709e-03
3.70635224756154e+00	9.99978307795464e-01,-4.65743856472056e-03
3.73213196614728e+00	9.99978004990234e-01,-4.68983219165662e-03
3.75809099685610e+00	9.99977697958187e-01,-4.72245110424713e-03
3.78423058690244e+00	9.99977386640325e-01,-4.75529686885080e-03
3.81055199217580e+00	9.99977070976826e-01,-4.78837106270802e-03
3.83705647730111e+00	9.99976750907032e-01,-4.82167527401634e-03
3.86374531569944e+00	9.99976426369439e-01,-4.85521110200633e-03
3.89061978964920e+00	9.99976097301685e-01,-4.88898015701810e-03
3.91768119034776e+00	9.99975763640538e-01,-4.92298406057823e-03
3.94493081797349e+00	9.99975425321882e-01,-4.95722444547728e-03
3.97236998174820e+00	9.99975082280708e-01,-4.99170295584788e-03
4.00000000000006e+00	9.99974734451097e-01,-5.02642124724323e-03
4.02782220022694e+00	9.99974381766213e-01,-5.06138098671629e-03
4.05583791916018e+00	9.99974024158286e-01,-5.09658385289938e-03
4.08404850282883e+00	9.99973661558599e-01,-5.13203153608445e-03
4.11245530662433e+00	9.99973293897478e-01,-5.16772573830376e-03
4.14105969536557e+00	9.99972921104274e-01,-5.20366817341127e-03
4.16986304336455e+00	9.99972543107356e-01,-5.23986056716445e-03
4.19886673449233e+00	9.99972159834089e-01,-5.27630465730677e-03
4.22807216224559e+00	9.99971771210826e-01,-5.31300219365063e-03
4.25748072981351e+00	9.99971377162893e-01,-5.34995493816100e-03
4.28709385014524e+00	9.99970977614573e-01,-5.38716466503951e-03
4.31691294601778e+00	9.99970572489092e-01,-5.42463316080918e-03
4.34693945010430e+00	9.99970161708606e-01,-5.46236222439976e-03
4.37717480504303e+00	9.99969745194182e-01,-5.50035366723355e-03
4.40762046350651e+00	9.99969322865788e-01,-5.53860931331192e-03
4.43827788827145e+00	9.99968894642273e-01,-5.57713099930234e-03
4.46914855228895e+00	9.99968460441356e-01,-5.61592057462609e-03
4.50023393875531e+00	9.99968020179604e-01,-5.65497990154648e-03
4.53153554118327e+00	9.99967573772423e-01,-5.69431085525774e-03
4.56305486347377e+00	9.99967121134038e-01,-5.73391532397449e-03
4.59479341998822e+00	9.99966662177474e-01,-5.77379520902183e-03
4.62675273562123e+00	9.99966196814545e-01,-5.81395242492604e-03
4.65893434587390e+00	9.99965724955835e-01,-5.85438889950591e-03
4.69133979692760e+00	9.99965246510677e-01,-5.89510657396470e-03
4.72397064571820e+00	9.99964761387140e-01,-5.93610740298271e-03
4.75682846001097e+00	9.99964269492013e-01,-5.97739335481049e-03
4.78991481847580e+00	9.99963770730779e-01,-6.01896641136269e-03
4.82323131076313e+00	9.99963265007606e-01,-6.06082856831258e-03
4.85677953758027e+00	9.99962752225323e-01,-6.10298183518714e-03
4.89056111076836e+00	9.99962232285402e-01,-6.14542823546288e-03
4.92457765337975e+00	9.99961705087944e-01,-6.18816980666228e-03
4.95883079975604e+00	9.99961170531650e-01,-6.23120860045088e-03
4.99332219560654e+00	9.99960628513812e-01,-6.27454668273505e-03
5.02805349808740e+00	9.99960078930287e-01,-6.31818613376039e-03
5.06302637588121e+00	9.99959521675479e-01,-6.36212904821091e-03
5.09824250927714e+00	9.99958956642318e-01,-6.40637753530872e-03
5.13370359025171e+00	9.99958383722240e-01,-6.45093371891454e-03
5.16941132255006e+00	9.99957802805165e-01,-6.49579973762881e-03
5.20536742176783e+00	9.99957213779480e-01,-6.54097774489355e-03
5.24157361543355e+00	9.99956616532011e-01,-6.58646990909489e-03
5.27803164309168e+00	9.99956010948007e-01,-6.63227841366627e-03
5.31474325638615e+00	9.99955396911114e-01,-6.67840545719237e-03
5.35171021914455e+00	9.99954774303355e-01,-6.72485325351376e-03
5.38893430746286e+00	9.99954143005107e-01,-6.77162403183223e-03
5.42641730979079e+00	9.99953502895079e-01,-6.81872003681689e-03
5.46416102701769e+00	9.99952853850284e-01,-6.86614352871088e-03
5.50216727255908e+00	9.99952195746021e-01,-6.91389678343898e-03
5.54043787244381e+00	9.99951528455850e-01,-6.96198209271577e-03
5.57897466540173e+00	9.99950851851565e-01,-7.01040176415462e-03
5.61777950295210e+00	9.99950165803170e-01,-7.05915812137746e-03
5.65685424949249e+00	9.99949470178858e-01,-7.10825350412517e-03
5.69620078238840e+00	9.99948764844981e-01,-7.15769026836886e-03
5.73582099206342e+00	9.99948049666026e-01,-7.20747078642176e-03
5.77571678209010e+00	9.99947324504589e-01,-7.25759744705202e-03
5.81589006928136e+00	9.99946589221349e-01,-7.30807265559615e-03
5.85634278378262e+00	9.99945843675042e-01,-7.35889883407330e-03
5.89707686916452e+00	9.99945087722432e-01,-7.41007842130028e-03
5.93809428251631e+00	9.99944321218283e-01,-7.46161387300740e-03
5.97939699453987e+00	9.99943544015336e-01,-7.51350766195501e-03
6.02098698964439e+00	9.99942755964273e-01,-7.56576227805095e-03
6.06286626604171e+00	9.99941956913695e-01,-7.61838022846869e-03
6.10503683584236e+00	9.99941146710090e-01,-7.67136403776631e-03
6.14750072515217e+00	9.99940325197806e-01,-7.72471624800630e-03
6.19025997416968e+00	9.99939492219015e-01,-7.77843941887613e-03
6.23331663728413e+00	9.99938647613691e-01,-7.83253612780967e-03
6.27667278317413e+00	9.99937791219573e-01,-7.88700897010941e-03
6.32033049490715e+00	9.99936922872136e-01,-7.94186055906951e-03
6.36429187003948e+00	9.99936042404561e-01,-7.99709352609968e-03
6.40855902071711e+00	9.99935149647699e-01,-8.05271052084991e-03
6.45313407377714e+00	9.99934244430044e-01,-8.10871421133600e-03
6.49801917085002e+00	9.99933326577694e-01,-8.16510728406596e-03
6.54321646846239e+00	9.99932395914324e-01,-8.22189244416730e-03
6.58872813814072e+00	9.99931452261146e-01,-8.27907241551510e-03
6.63455636651567e+00	9.99930495436879e-01,-8.33664994086099e-03
6.68070335542710e+00	9.99929525257713e-01,-8.39462778196300e-03
6.72717132202986e+00	9.99928541537272e-01,-8.45300871971626e-03
6.77396249890036e+00	9.99927544086583e-01,-8.51179555428457e-03
6.82107913414380e+00	9.99926532714032e-01,-8.57099110523293e-03
6.86852349150218e+00	9.99925507225335e-01,-8.63059821166080e-03
6.91629785046307e+00	9.99924467423498e-01,-8.69061973233647e-03
6.96440450636914e+00	9.99923413108776e-01,-8.75105854583211e-03
7.01284577052843e+00	9.99922344078638e-01,-8.81191755065990e-03
7.06162397032539e+00	9.99921260127730e-01,-8.87319966540898e-03
7.11074144933272e+00	9.99920161047831e-01,-8.93490782888330e-03
7.16020056742394e+00	9.99919046627815e-01,-8.99704500024049e-03
7.21000370088680e+00	9.99917916653612e-01,-9.05961415913156e-03
7.26015324253745e+00	9.99916770908164e-01,-9.12261830584156e-03
7.31065160183536e+00	9.99915609171387e-01,-9.18606046143123e-03
7.36150120499916e+00	9.99914431220125e-01,-9.24994366787951e-03
7.41270449512313e+00	9.99913236828110e-01,-9.31427098822706e-03
7.46426393229462e+00	9.99912025765917e-01,-9.37904550672075e-03
7.51618199371226e+00	9.99910797800921e-01,-9.44427032895902e-03
7.56846117380494e+00	9.99909552697252e-01,-9.50994858203834e-03
7.62110398435167e+00	9.99908290215750e-01,-9.57608341470052e-03
7.67411295460229e+00	9.99907010113918e-01,-9.64267799748107e-03
7.72749063139894e+00	9.99905712145877e-01,-9.70973552285856e-03
7.78123957929846e+00	9.99904396062318e-01,-9.77725920540489e-03
7.83536238069559e+00	9.99903061610454e-01,-9.84525228193664e-03
7.88986163594705e+00	9.99901708533973e-01,-9.91371801166738e-03
7.94473996349647e+00	9.99900336572987e-01,-9.98265967636101e-03
8.00000000000018e+00	9.99898945463984e-01,-1.00520805804861e-02
8.05564440045393e+00	9.99897534939775e-01,-1.01219840513712e-02
8.11167583832042e+00	9.99896104729445e-01,-1.01923734393614e-02
8.16809700565773e+00	9.99894654558301e-01,-1.02632521179755e-02
8.22491061324872e+00	9.99893184147816e-01,-1.03346234840647e-02
8.28211939073121e+00	9.99891693215582e-01,-1.04064909579721e-02
8.33972608672916e+00	9.99890181475249e-01,-1.04788579836929e-02
8.39773346898473e+00	9.99888648636475e-01,-1.05517280290367e-02
8.45614432449124e+00	9.99887094404868e-01,-1.06251045857894e-02
8.51496145962708e+00	9.99885518481929e-01,-1.06989911698777e-02
8.57418770029055e+00	9.99883920564998e-01,-1.07733913215332e-02
8.63382589203562e+00	9.99882300347192e-01,-1.08483086054590e-02
8.69387890020867e+00	9.99880657517350e-01,-1.09237466109961e-02
8.75434961008612e+00	9.99878991759971e-01,-1.09997089522920e-02
8.81524092701309e+00	9.99877302755151e-01,-1.10761992684694e-02
8.87655577654297e+00	9.99875590178529e-01,-1.11532212237969e-02
8.93829710457797e+00	9.99873853701219e-01,-1.12307785078602e-02
9.00046787751069e+00	9.99872092989746e-01,-1.13088748357347e-02
9.06307108236661e+00	9.99870307705989e-01,-1.13875139481591e-02
9.12610972694761e+00	9.99868497507109e-01,-1.14666996117104e-02
9.18958683997650e+00	9.99866662045487e-01,-1.15464356189793e-02
9.25350547124252e+00	9.99864800968655e-01,-1.16267257887480e-02
9.31786869174787e+00	9.99862913919233e-01,-1.17075739661676e-02
9.38267959385526e+00	9.99861000534855e-01,-1.17889840229384e-02
9.44794129143648e+00	9.99859060448105e-01,-1.18709598574894e-02
9.51365692002200e+00	9.99857093286439e-01,-1.19535053951611e-02
9.57982963695166e+00	9.99855098672123e-01,-1.20366245883873e-02
9.64646262152632e+00	9.99853076222155e-01,-1.21203214168801e-02
9.71355907516062e+00	9.99851025548191e-01,-1.22045998878144e-02
9.78112222153679e+00	9.99848946256474e-01,-1.22894640360150e-02
9.84915530675958e+00	9.99846837947756e-01,-1.23749179241438e-02
9.91766159951214e+00	9.99844700217224e-01,-1.24609656428887e-02
9.98664439121315e+00	9.99842532654419e-01,-1.25476113111539e-02
1.00561069961749e+01	9.99840334843161e-01,-1.26348590762509e-02
1.01260527517625e+01	9.99838106361466e-01,-1.27227131140913e-02
1.01964850185544e+01	9.99835846781469e-01,-1.28111776293802e-02
1.02674071805035e+01	9.99833555669339e-01,-1.29002568558117e-02
1.03388226451002e+01	9.99831232585196e-01,-1.29899550562645e-02
1.04107348435357e+01	9.99828877083029e-01,-1.30802765229999e-02
1.04831472308672e+01	9.99826488710610e-01,-1.31712255778602e-02
1.05560632861834e+01	9.99824067009404e-01,-1.32628065724690e-02
1.06294865127724e+01	9.99821611514488e-01,-1.33550238884321e-02
1.07034204382892e+01	9.99819121754454e-01,-1.34478819375405e-02
1.07778686149258e+01	9.99816597251327e-01,-1.35413851619739e-02
1.08528346195817e+01	9.99814037520466e-01,-1.36355380345059e-02
1.09283220540355e+01	9.99811442070476e-01,-1.37303450587105e-02
1.10043345451182e+01	9.99808810403113e-01,-1.38258107691697e-02
1.10808757448877e+01	9.99806142013188e-01,-1.39219397316826e-02
1.11579493308035e+01	9.99803436388471e-01,-1.40187365434758e-02
1.12355590059043e+01	9.99800693009592e-01,-1.41162058334150e-02
1.13137084989851e+01	9.99797911349943e-01,-1.42143522622181e-02
1.13924015647769e+01	9.99795090875576e-01,-1.43131805226691e-02
1.14716419841269e+01	9.99792231045102e-01,-1.44126953398345e-02
1.15514335641803e+01	9.99789331309588e-01,-1.45129014712796e-02
1.16317801385628e+01	9.99786391112448e-01,-1.46138037072872e-02
1.17126855675653e+01	9.99783409889343e-01,-1.47154068710775e-02
1.17941537383291e+01	9.99780387068067e-01,-1.48177158190287e-02
1.18761885650327e+01	9.99777322068441e-01,-1.49207354408999e-02
1.19587939890798e+01	9.99774214302204e-01,-1.50244706600546e-02
1.20419739792889e+01	9.99771063172893e-01,-1.51289264336861e-02
1.21257325320835e+01	9.99767868075738e-01,-1.52341077530442e-02
1.22100736716848e+01	9.99764628397541e-01,-1.53400196436628e-02
1.22950014503044e+01	9.99761343516558e-01,-1.54466671655897e-02
1.23805199483395e+01	9.99758012802386e-01,-1.55540554136172e-02
1.24666332745683e+01	9.99754635615836e-01,-1.56621895175143e-02
1.25533455663484e+01	9.99751211308815e-01,-1.57710746422604e-02
1.26406609898144e+01	9.99747739224200e-01,-1.58807159882803e-02
1.27285837400791e+01	9.99744218695715e-01,-1.59911187916806e-02
1.28171180414343e+01	9.99740649047799e-01,-1.61022883244879e-02
1.29062681475544e+01	9.99737029595482e-01,-1.62142298948877e-02
1.29960383417001e+01	9.99733359644253e-01,-1.63269488474656e-02
1.30864329369249e+01	9.99729638489925e-01,-1.64404505634494e-02
1.31774562762815e+01	9.99725865418502e-01,-1.65547404609526e-02
1.32691127330314e+01	9.99722039706043e-01,-1.66698239952198e-02
1.33614067108543e+01	9.99718160618525e-01,-1.67857066588735e-02
1.34543426440598e+01	9.99714227411700e-01,-1.69023939821615e-02
1.35479249978008e+01	9.99710239330952e-01,-1.70198915332074e-02
1.36421582682877e+01	9.99706195611161e-01,-1.71382049182609e-02
1.37370469830045e+01	9.99702095476545e-01,-1.72573397819507e-02
1.38325957009262e+01	9.99697938140523e-01,-1.73773018075385e-02
1.39288090127384e+01	9.99693722805557e-01,-1.74980967171746e-02
1.40256915410570e+01	9.99689448663004e-01,-1.76197302721547e-02
1.41232479406509e+01	9.99685114892961e-01,-1.77422082731785e-02
1.42214828986655e+01	9.99680720664107e-01,-1.78655365606099e-02
1.43204011348480e+01	9.99676265133548e-01,-1.79897210147387e-02
1.44200074017737e+01	9.99671747446652e-01,-1.81147675560431e-02
1.45203064850750e+01	9.99667166736887e-01,-1.82406821454550e-02
1.46213032036708e+01	9.99662522125660e-01,-1.83674707846255e-02
1.47230024099984e+01	9.99657812722143e-01,-1.84951395161931e-02
1.48254089902464e+01	9.99653037623109e-01,-1.86236944240526e-02
1.49285278645894e+01	9.99648195912753e-01,-1.87531416336260e-02
1.50323639874246e+01	9.99643286662527e-01,-1.88834873121346e-02
1.51369223476100e+01	9.99638308930954e-01,-1.90147376688730e-02
1.52422079687035e+01	9.99633261763454e-01,-1.91468989554844e-02
1.53482259092047e+01	9.99628144192160e-01,-1.92799774662375e-02
1.54549812627980e+01	9.99622955235732e-01,-1.94139795383053e-02
1.55624791585970e+01	9.99617693899176e-01,-1.95489115520446e-02
1.56707247613913e+01	9.99612359173647e-01,-1.96847799312781e-02
1.57797232718942e+01	9.99606950036263e-01,-1.98215911435775e-02
1.58894799269931e+01	9.99601465449906e-01,-1.99593517005479e-02
1.60000000000005e+01	9.99595904363028e-01,-2.00980681581148e-02
1.61112888009080e+01	9.99590265709447e-01,-2.02377471168112e-02
1.62233516766410e+01	9.99584548408148e-01,-2.03783952220678e-02
1.63361940113156e+01	9.99578751363074e-01,-2.05200191645035e-02
1.64498212264976e+01	9.99572873462920e-01,-2.06626256802185e-02
1.65642387814626e+01	9.99566913580921e-01,-2.08062215510880e-02
1.66794521734585e+01	9.99560870574634e-01,-2.09508136050587e-02
1.67954669379696e+01	9.99554743285727e-01,-2.10964087164454e-02
1.69122886489826e+01	9.99548530539755e-01,-2.12430138062304e-02
1.70299229192543e+01	9.99542231145936e-01,-2.13906358423643e-02
