time	VR	Vout	Vin
5.893833928260267e-04	-6.198320e-01	4.298056e-01	-1.900264e-01
5.949637499688838e-04	-6.332662e-01	4.122850e-01	-2.209812e-01
6.061244642545981e-04	-6.584888e-01	3.758711e-01	-2.826177e-01
6.172851785403124e-04	-6.810447e-01	3.384925e-01	-3.425523e-01
6.284458928260267e-04	-7.009339e-01	3.001490e-01	-4.007849e-01
6.396066071117410e-04	-7.181564e-01	2.608407e-01	-4.573156e-01
6.507673213974552e-04	-7.327121e-01	2.205677e-01	-5.121444e-01
6.619280356831695e-04	-7.446011e-01	1.793298e-01	-5.652713e-01
6.730887499688838e-04	-7.538234e-01	1.371271e-01	-6.166963e-01
6.781110713974552e-04	-7.569595e-01	1.181205e-01	-6.388390e-01
6.831333928260267e-04	-7.595039e-01	9.907967e-02	-6.604242e-01
6.881557142545981e-04	-7.614566e-01	8.000462e-02	-6.814520e-01
6.931780356831696e-04	-7.628177e-01	6.089536e-02	-7.019223e-01
6.982003571117411e-04	-7.635871e-01	4.175189e-02	-7.218353e-01
7.032226785403125e-04	-7.637649e-01	2.257420e-02	-7.411907e-01
7.082449999688839e-04	-7.633511e-01	3.362294e-03	-7.599888e-01
7.132673213974553e-04	-7.623347e-01	-1.583163e-02	-7.781663e-01
7.182896428260268e-04	-7.607270e-01	-3.495545e-02	-7.956825e-01
7.233119642545982e-04	-7.585281e-01	-5.400918e-02	-8.125373e-01
7.283342856831696e-04	-7.557379e-01	-7.299279e-02	-8.287307e-01
7.333566071117411e-04	-7.523565e-01	-9.190631e-02	-8.442628e-01
7.383789285403125e-04	-7.483839e-01	-1.107497e-01	-8.591336e-01
7.434012499688839e-04	-7.438200e-01	-1.295230e-01	-8.733430e-01
7.551199999688839e-04	-7.307082e-01	-1.731758e-01	-9.038840e-01
7.668387499688839e-04	-7.146797e-01	-2.155430e-01	-9.302227e-01
7.785574999688839e-04	-6.957345e-01	-2.566245e-01	-9.523590e-01
7.902762499688839e-04	-6.738725e-01	-2.964204e-01	-9.702929e-01
8.019949999688839e-04	-6.490937e-01	-3.349307e-01	-9.840244e-01
8.137137499688840e-04	-6.213983e-01	-3.721552e-01	-9.935535e-01
8.254324999688840e-04	-5.907861e-01	-4.080942e-01	-9.988803e-01
8.388253571117411e-04	-5.523548e-01	-4.468409e-01	-9.991957e-01
8.522182142545983e-04	-5.114502e-01	-4.825020e-01	-9.939522e-01
8.656110713974554e-04	-4.680721e-01	-5.150776e-01	-9.831497e-01
8.790039285403126e-04	-4.222206e-01	-5.445677e-01	-9.667882e-01
8.923967856831697e-04	-3.738956e-01	-5.709722e-01	-9.448678e-01
9.057896428260269e-04	-3.230972e-01	-5.942911e-01	-9.173883e-01
9.191824999688841e-04	-2.698254e-01	-6.145245e-01	-8.843499e-01
9.269949999688841e-04	-2.382726e-01	-6.244839e-01	-8.627565e-01
9.348074999688841e-04	-2.064272e-01	-6.331743e-01	-8.396015e-01
9.426199999688841e-04	-1.742890e-01	-6.405959e-01	-8.148849e-01
9.504324999688841e-04	-1.418581e-01	-6.467485e-01	-7.886066e-01
9.582449999688841e-04	-1.091345e-01	-6.516321e-01	-7.607667e-01
9.660574999688841e-04	-7.611824e-02	-6.552469e-01	-7.313651e-01
9.738699999688841e-04	-4.280925e-02	-6.575927e-01	-7.004019e-01
9.777762499688840e-04	-2.618316e-02	-6.582663e-01	-6.844494e-01
9.816824999688840e-04	-9.567648e-03	-6.586157e-01	-6.681833e-01
